title,source,author,Subject,Date ,label
 Donald Trump Sends Out Embarrassing New Years Eve Message This is Disturbing,Whatsapp,David Streitfeld,News,December 29  2017 ,FALSE
 Drunk Bragging Trump Staffer Started Russian Collusion Investigation,Facebook,nan,News,December 29  2018,FALSE
 Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People In The Eye,Rummer com,Common Dreams,News,December 29  2019,FALSE
 Trump Is So Obsessed He Even Has Obamas Name Coded Into His Website IMAGES,Highlight com,Daniel Victor,News,December 29  2020,FALSE
itís a good weather,Whatsapp,Truth Broadcast Network,News,December 29  2021,FALSE
 Racist Alabama Cops Brutalize Black Boy While He Is In Handcuffs GRAPHIC IMAGES,Facebook,nan,News,December 29  2022,FALSE
 Fresh Off The Golf Course Trump Lashes Out At FBI Deputy Director And James Comey,Rummer com,Pam Key,News,December 29  2023,FALSE
 Trump Said Some INSANELY Racist Stuff Inside The Oval Office And Witnesses Back It Up,Highlight com,Trevor Loudon,News,December 29  2024,FALSE
 Former CIA Director Slams Trump Over UN Bullying Openly Suggests Hes Acting Like A Dictator TWEET,Whatsapp,nan,News,December 29  2025,FALSE
 WATCH BrandNew ProTrump Ad Features So Much  It Will Make You Sick,Facebook,cognitive dissident,News,December 29  2026,FALSE
 Papa Johns Founder Retires Figures Out Racism Is Bad For Business,Rummer com,Dr Eowyn,News,December 29  2027,FALSE
 WATCH Paul Ryan Just Told Us He Doesnt Care About Struggling Families Living In Blue States,Highlight com,Doug Diamond,News,December 29  2028,FALSE
 Bad News For Trump  Mitch McConnell Says No To Repealing Obamacare In 2018,Whatsapp,Shaun Bradley,News,December 29  2029,FALSE
 WATCH Lindsey Graham Trashes Media For Portraying Trump As Kooky Forgets His Own Words,Facebook,Steve Watson,News,December 29  2030,FALSE
 Heiress To Disney Empire Knows GOP Scammed Us  SHREDS Them For Tax Bill,Rummer com,Usa News Flash,News,December 29  2031,FALSE
 Tone Deaf Trump Congrats Rep Scalise On Losing Weight After You Almost Died,Highlight com,Melissa Eddy,News,December 29  2032,FALSE
 The Internet Brutally Mocks Disneys New Trump Robot At Hall Of Presidents,Whatsapp,Ken Belson and Ben Shpigel,News,December 29  2033,FALSE
