ID,TITLE,AUTHOR,DATE ,LABEL
1,Can Twitter Predict the Future Pentagon Says Maybe,David Streitfeld,December 29  2018,TRUE
2,Do Media Vultures Perpetuate Mass Shootings,nan,December 29  2019,TRUE
3,Do Some Foods Explode in Your Stomach,Common Dreams,December 29  2020,TRUE
4,Is the Life of a Child Worth 1 to You,Daniel Victor,December 29  2021,TRUE
5,Suicide of a Hacker,Truth Broadcast Network,December 29  2022,TRUE
6,Suppose This Happened on Your Wedding Day,nan,December 29  2023,TRUE
7,The Child Who Won the Hearts of All,Pam Key,December 29  2024,TRUE
8,This Tiny Mistake Costs Gardeners 3000 a Year,Trevor Loudon,December 29  2025,TRUE
9,When Doctors Feel Rotten This is What They Do,nan,December 29  2026,TRUE
10,You will Never Get Hired if You Say This in a Job Interview,cognitive dissident,December 29  2027,TRUE
11,Newspaper Headline Examples for Students,Dr Eowyn,December 29  2028,TRUE
12,Newspaper headlines introducing news reports are typically focused on things like current events and trends or the results of an investigative study or survey,Doug Diamond,December 29  2029,TRUE
13,Is Zoom Fatigue a Real Thing,Shaun Bradley,December 29  2030,TRUE
14,Can a Website Help You Beat Jet Lag,Steve Watson,December 29  2031,TRUE
15,Fushigi Ball Poised to be Bigger than Snuggies  Xbox,Usa News Flash,December 29  2032,TRUE
16,How Much is Worker Tension Costing Your Company,Melissa Eddy,December 29  2033,TRUE
17,Streaming Video Could Kill Shared Data Plans,Ken Belson and Ben Shpigel,December 29  2034,TRUE
18,Will Families Social Distance for the Holidays,Tom Ciccotta,December 29  2035,TRUE
19,How a New Discovery Made a Plain Girl Beautiful,Jason Easley,December 29  2036,TRUE
20,How a New Kind of Clay Improved My Complexion in 30 Minutes,Bryant Rousseau,December 29  2037,TRUE
21,Top US Cities for Bedbug Infestations,REALdeal,December 29  2038,TRUE
22,Is Takeout the Latest Fine Dining Trend,REALdeal,December 29  2039,TRUE
23,Delight in the Desert Southwest,Dale Johnson,December 29  2040,TRUE
24,Dont Let Athletes Foot Lay You Up,Andrew Anglin,December 29  2041,TRUE
25,Draw Readers in With Our Creative Book Cover Designs,James Fulford,December 29  2042,TRUE
26,For the Woman Who is Older Than She Looks,Holland Cotter,December 29  2043,TRUE
27,Guaranteed to Go Through Ice Mud or Snow Or We Pay the Tow,Sam J,December 29  2044,TRUE
28,Hands That Look Lovelier in 24 Hours Or Your Money Back,Maggie Haberman and Thomas Kaplan,December 29  2045,TRUE
29,Pierced by 302 Nails Retains Full Air Pressure,Matthew Goldstein Rachel Abrams and Ben Protess,December 29  2046,TRUE
30,No Publisher No Problem Discover SelfPublishing Success,,December 29  2047,TRUE
31,Proven System Master a New in Language in 10 Days,Pam Key,December 29  2048,TRUE
32,Improve Your Memory in Just 5 Minutes Per Day,UnReal Mama,December 29  2049,TRUE
33,Nature Lover and Environmental Activist,James Poniewozik,December 29  2050,TRUE
34,Drama Nerd Who Loves Being in the Spotlight,Mark Mazzetti,December 29  2051,TRUE
35,Recovering Accountant in Retirement,nan,December 29  2052,TRUE
36,Recently Relocated Outdoors Enthusiast,Barbara Crossette,December 29  2053,TRUE
37,Adventurous Free Spirit Travel Arts and Wine Enthusiast,Ian Hanchett,December 29  2054,TRUE
38,Creative Crafter and Culinary Concocter,Kevin Gosztola,December 29  2055,TRUE
39,Enthusiastic Energetic and Excited to Meet New People,Andrew Napolitano,December 29  2056,TRUE
40,Self Proclaimed Gaming Geek,Dan Bilefsky,December 29  2057,TRUE
41,Humble Homesteader Navigating SelfReliance,Robin Pogrebin,December 29  2058,TRUE
42,Content and Happy in the Universe,Ian Hanchett,December 29  2059,TRUE
43,Resume Headline Examples,Doctor Who?,December 29  2060,TRUE
44,Consider including a headline on your resume to really capture the attention of recruiters,Michael D Shear,December 29  2061,TRUE
45,Detail Oriented Administrative Professional,Sabrina Tavernise,December 29  2062,TRUE
46,Enthusiastic Customer Service Specialist With Call Center Experience,Rakiha geevinda,December 29  2063,TRUE
47,Skilled Financial Services Representative,Neil W McCabe,December 29  2064,TRUE
48,Sales Professional With a Track Record of Successful Cold Calling,Nick CummingBruce and Eric Schmitt,December 29  2065,TRUE
49,Strategic Minded Executive Committed to Building Successful Startups,Marietta Peverelli,December 29  2066,TRUE
50,Experienced Manufacturing Operations Manager,nan,December 29  2067,TRUE
51,Certified Safety Professional With Manufacturing and Construction Experience,Jeremy Egner,December 29  2068,TRUE
52,Results Oriented Regional Manager,nan,December 29  2069,TRUE
53,Accomplished Commercial Construction Professional,Erica L Green,December 29  2070,TRUE
54,Award Winning Writer and Editor,nan,December 29  2071,TRUE
55,Oracle CEO Catz to join Trump transition team remain at Oracle,Iron Sheik,December 29  2072,TRUE
56,WHO recommends longacting cabotegravir for HIV prevention,Eric Schmitt,December 29  2073,TRUE
57,Free N95 Masks Now Available at Some US Pharmacy Locations Wider Rollout Expected Soon ,Activist Post,December 29  2074,TRUE
58,Biden Admin Makes Free COVID19 Rapid Tests Available Thru New Website ,Yamiche Alcindor,December 29  2075,TRUE
59,Supreme Court Blocks Vaccine Mandate for Large Employers ,AO Scott,December 29  2076,TRUE
60,New Guidance Requires Insurers to Cover 8 At Home COVID Tests Per Month ,Mujib Mashal,December 29  2077,TRUE
61, FDA Authorizes Pfizer Booster Doses for Children Ages 12 15,Gilad Atzmon,December 29  2078,TRUE
62, COVAX Deliveries Surged in December but Falls Short of 2021 Goal ,Joe Wolverton II JD,December 29  2079,TRUE
63, FDA Approves First At Home COVID19 Treatment ,Anonymous,December 29  2080,TRUE
64, FDA Approves First At Home COVID19 Treatment ,Warner Todd Huston,December 29  2081,TRUE
65, Pharmacists Experiencing Burnout Amid COVID Surge ,Bill Quigley,December 29  2082,TRUE
66, CDC Recommends Pfizer and Moderna Vaccines Over JJ Due to Rare Clotting Issue ,The Daily Sheeple,December 29  2083,TRUE
67, Biden Admin Releases Winter COVID Strategy Including Insurance Coverage of At Home Tests ,Rowan Wolf,December 29  2084,TRUE
68, FDA Advisory Panel Recommends Emergency Authorization of COVID19 Antiviral Molnupiravir ,nan,December 29  2085,TRUE
69, CDC Recommends All Adults Receive COVID19 Booster ,Jacob Hornberger,December 29  2086,TRUE
70, Admin Announces 15B from COVID19 Aid Package to Help Address Healthcare Worker Shortage ,Charlie Spiering,December 29  2087,TRUE
71, Admin Announces Initiative to Boost Global Production of mRNA COVID19 Vaccines ,nan,December 29  2088,TRUE
72, Federal Appeals Court Stays OSHA Vaccine Requirements Pending Challenge ,Christina Sarich,December 29  2089,TRUE
73,Fifth Circuit Suspends Employer Vaccine and Testing Rule ,AndrÃ du PÃ´le,December 29  2090,TRUE
74, Biden Admin Sets Jan 4 Vaccination Deadline for Large Employers ,Daniel Victor,December 29  2091,TRUE
75,CDC Recommends COVID19 Vaccine for Children Aged 511 Rollout to Begin Next Week ,Charles McDermid,December 29  2092,TRUE
76, FDA Authorizes Moderna and JJ Booster Shots and MixandMatch Strategy ,Sam Sifton,December 29  2093,TRUE
77, US Will Finance COVID19 Vaccine Plants Overseas ,Richard PÃrezPeÃ±a and Frances Robles,December 29  2094,TRUE
78, FDA Panel Will Review Oral COVID19 Antiviral Drug on November 30 ,Maggie Haberman and Nicholas Fandos,December 29  2095,TRUE
79, Biden Admin Allocates 1 Billion to Boost Rapid AtHome COVID19 Tests ,Thomas C Mountain,December 29  2096,TRUE
80,FDA Authorizes Booster Shots for Older and AtRisk Americans ,Warner Todd Huston,December 29  2097,TRUE
81, KFF Finds Insurers Asking Unvaccinated People to Share Cost of COVID19 Treatment ,Jess Bidgood and Richard PÃrezPeÃ±a,December 29  2098,TRUE
82, Biden Administration Takes Over Distribution of COVID19 Therapies and Purchases More Doses ,Starkman,December 29  2099,TRUE
83, HHS Amends PREP Act to Allow Pharmacists to Administer Some COVID19 Therapeutics ,John Hayward,December 29  2100,TRUE
84, HHS Announces 25 Billion in COVID19 Provider Relief Grants ,The European Union Times,December 29  2101,TRUE
85, Biden Administration Announces Vaccine Mandates for Large Businesses Health Care Facilities and Federal Employees ,Author,December 29  2102,TRUE
86, 75 of US Adults Have Received at Least One Dose of COVID19 Vaccine ,Gillian,December 29  2103,TRUE
87, CMS Unveils New Guidelines for Medicaid Expansion COVID19 Testing and Vaccine Administration ,Nicholas Bakalar,December 29  2104,TRUE
88, FDA Grants Full Approval to PfizerBioNTech COVID19 Vaccine ,Winnie Hu,December 29  2105,TRUE
89, Biden Administration Recommends Most Americans Get Vaccine Booster 8 Months After Second Shot ,Vanessa Friedman,December 29  2106,TRUE
90,CDC Releases Studies Showing Declining COVID19 Vaccine Effectiveness Against Infection ,Tony Lee,December 29  2107,TRUE
91,CDC Backs Third COVID19 Vaccine Dose for Some Immunocompromised People ,Andrew Anglin,December 29  2108,TRUE
92, US Military Will Require ActiveDuty Service Members to Get Vaccinated by September 15 ,David Streitfeld,December 29  2109,TRUE
93, FDA Expected to Authorize COVID19 Vaccine Boosters for the Immunocompromised ,nan,December 29  2110,TRUE
94, Delta Variant Accounts for over 90 Percent of US COVID19 Cases ,Common Dreams,December 29  2111,TRUE
95, WHO Calls for Moratorium on COVID19 Vaccine Boosters ,Daniel Victor,December 29  2112,TRUE
96, US Reaches Milestone of 70 of Adults Receiving at Least One Dose of COVID19 Vaccine ,Truth Broadcast Network,December 29  2113,TRUE
97,CDC Updates Mask Guidance for Vaccinated People K12 Schools ,Declan Walsh,December 29  2114,TRUE
98, Biden Says Long Covid May be Considered a Disability Under Civil Rights Laws ,Ivan Nechepurenko,December 29  2115,TRUE
99,VA Issues Vaccine Mandate for Health Care Workers ,Ilana Mercer,December 29  2116,TRUE
100, Pfizer and Moderna Expanding Clinical Trials for Children Ages 511 at FDA Urging ,Gillian,December 29  2117,TRUE
101, CDC Advisory Panel Urges Guidance on  Vaccine Booster for Immunocompromised People ,Reuters,December 29  2118,TRUE
102, Pfizer AstraZeneca Vaccines Effective Against COVID19 UK Study Finds ,Carrie MacDonald,December 29  2119,TRUE
103, CDC Director Delta Variant Responsible for 83 of New US Coronavirus Cases ,Katherine Rodriguez,December 29  2120,TRUE
104, Federal Judge Upholds Indiana Universitys Vaccine Requirement for Students ,Harvey Araton,December 29  2121,TRUE
105, CDC Director Warns of Preventable COVID19 Cases Among Unvaccinated Americans ,Ben Berkon,December 29  2122,TRUE
106, FDA Official Says EUA for COVID Vaccines for Kids Under 12 Expected Midwinter ,Michael D Shear and David E Sanger,December 29  2123,TRUE
107, CDC Advisory Panel to Consider Additional COVID19 Vaccine Dose for Immunocompromised ,Contributing Author,December 29  2124,TRUE
108, FDA Adds Warning About Increased Risk of Guillain Barre Syndrome to JJ Vaccine ,Michelle Slatalla,December 29  2125,TRUE
109, White House Official Says Nearly All Deaths and Vaccinations Are Among Unvaccinated People ,Adrian Bamforth,December 29  2126,TRUE
110, Pfizer Plans Clinical Trials for Third Dose of COVID19 Vaccine to Boost Immunity Against Variants ,stevew,December 29  2127,TRUE
111, Biden Urges Americans to Help End COVID19 Pandemic During July 4 Remarks ,Jimmy Rustling,December 29  2128,TRUE
112, US to Share Tens of Millions More COVID19 Vaccine Doses This Summer ,Nick Turse,December 29  2129,TRUE
113, CDC Says 1000 Counties in the US Have COVID Vaccination Coverage of Less Than 30,Joel B Pollak,December 29  2130,TRUE
114, Medicaid Beneficiaries Less Likely to Get COVID19 Shots ,Christine Hauser,December 29  2131,TRUE
